"year","geoid","ZIP_code","title_field","value"
"2013","86000US07302","07302","Total Housing Units",21156
"2013","86000US07302","07302","Vacant Housing Units",3022
"2013","86000US07302","07302","Occupied Housing Units",18134
"2013","86000US07302","07302","Owner Occupied",5202
"2013","86000US07302","07302","Renter Occupied",12932
"2013","86000US07302","07302","Median Gross Rent",1674
"2013","86000US07304","07304","Total Housing Units",16942
"2013","86000US07304","07304","Vacant Housing Units",2129
"2013","86000US07304","07304","Occupied Housing Units",14813
"2013","86000US07304","07304","Owner Occupied",4430
"2013","86000US07304","07304","Renter Occupied",10383
"2013","86000US07304","07304","Median Gross Rent",1009
"2013","86000US07305","07305","Total Housing Units",24891
"2013","86000US07305","07305","Vacant Housing Units",3546
"2013","86000US07305","07305","Occupied Housing Units",21345
"2013","86000US07305","07305","Owner Occupied",9076
"2013","86000US07305","07305","Renter Occupied",12269
"2013","86000US07305","07305","Median Gross Rent",1104
"2013","86000US07306","07306","Total Housing Units",22668
"2013","86000US07306","07306","Vacant Housing Units",2417
"2013","86000US07306","07306","Occupied Housing Units",20251
"2013","86000US07306","07306","Owner Occupied",4510
"2013","86000US07306","07306","Renter Occupied",15741
"2013","86000US07306","07306","Median Gross Rent",1028
"2013","86000US07307","07307","Total Housing Units",17344
"2013","86000US07307","07307","Vacant Housing Units",1697
"2013","86000US07307","07307","Occupied Housing Units",15647
"2013","86000US07307","07307","Owner Occupied",4761
"2013","86000US07307","07307","Renter Occupied",10886
"2013","86000US07307","07307","Median Gross Rent",1172
"2013","86000US07310","07310","Total Housing Units",6625
"2013","86000US07310","07310","Vacant Housing Units",913
"2013","86000US07310","07310","Occupied Housing Units",5712
"2013","86000US07310","07310","Owner Occupied",904
"2013","86000US07310","07310","Renter Occupied",4808
"2013","86000US07310","07310","Median Gross Rent",2001
"2013","86000US07311","07311","Total Housing Units",324
"2013","86000US07311","07311","Vacant Housing Units",68
"2013","86000US07311","07311","Occupied Housing Units",256
"2013","86000US07311","07311","Owner Occupied",0
"2013","86000US07311","07311","Renter Occupied",256
"2013","86000US07311","07311","Median Gross Rent",2001
